ab1,ab2,weight
915,3265,0.256187415338639
915,2438,0.305838369637971
915,2340,0.256758424730128
3239,5545,0.261035894104185
3239,2387,0.266353315013371
3239,4999,0.244491812944239
3239,3265,0.288824137178946
3239,2780,0.247475338380651
3239,3251,0.267316100788702
3239,2438,0.246491092284036
2386,1214,0.374210503637716
2386,2902,0.241033506598525
2386,1191,0.242351583451705
2386,3265,0.249548099015659
2386,2281,0.270042297776986
2386,2780,0.250986849835682
2386,3251,0.240391727434181
2386,3402,0.265186235146246
2386,5237,0.253052600724964
2282,3138,0.271008111648558
2282,2004,0.278955737173332
2282,1191,0.267894669954565
2282,50,0.290230884955006
2282,4229,0.240039649969074
2282,65,0.31122629912402
4166,2399,0.244992957358202
1207,3138,0.26914979724591
1207,61,0.275938935081517
1207,2276,0.255045527527157
1207,2004,0.275970534136705
1207,1191,0.250798028228012
1214,3061,0.289652726153189
1214,2281,0.265249609087004
2279,61,0.255850510977613
2279,2276,0.252793365406888
5536,5545,0.259028093382947
5227,3388,0.277715655833922
347,937,0.253621641284227
347,1129,0.249426283198945
3138,807,0.291285750151197
3138,2276,0.268853531705555
3147,61,0.254040984534201
3147,3061,0.253849450995271
3147,2276,0.257709365533285
3147,4971,0.244048569740718
3147,3477,0.243893915089252
61,3387,0.284721407640109
61,4428,0.240969929093165
61,2276,0.264579847880198
61,2902,0.284649966772061
61,50,0.262200195025106
61,1111,0.240247366703067
61,952,0.2457996386508
3387,2345,0.267498026731638
3387,2902,0.242606107530131
3387,3993,0.269317867780806
3387,3388,0.278208001565269
3387,3477,0.251178755901959
807,402,0.240455770965119
807,2561,0.259089172256715
807,1111,0.254147211510575
807,1117,0.289751916173336
4419,2774,0.240234961933998
3264,4,0.242679623866278
3264,4428,0.245906187228244
3264,937,0.280466487154857
3264,5545,0.266049567671065
3264,3265,0.25207735691653
3264,2438,0.256126025015794
3264,952,0.250475054813195
2033,50,0.270161631731558
2033,4400,0.28098692762949
2798,4302,0.259132328613086
2798,3388,0.24007094912702
4315,2345,0.251497132067309
4315,3047,0.24716727045394
4315,2340,0.258438687030171
1215,3061,0.315087174979157
1215,2393,0.267427702734961
1215,5237,0.251194352156839
2792,2779,0.242758044218134
2792,2777,0.249588863837473
4,3402,0.24611803767258
4680,2387,0.271196811038425
4428,5545,0.309779654529829
4428,2345,0.276259042122072
4428,2393,0.247454926989394
4428,2902,0.240261642831965
4428,3993,0.246986083381598
4428,3251,0.273779319501406
4428,2438,0.286472365445954
4428,3402,0.256552955074109
4428,707,0.293607093117278
642,2399,0.271121105103952
642,2387,0.269395374178821
4957,1928,0.257602360490754
2774,2779,0.26621986324529
2774,2345,0.279754648587051
2774,2393,0.268922627066122
2774,3047,0.246416864487527
2774,2777,0.251786497906593
2774,4400,0.247940447712377
2774,5237,0.246868305339145
2779,2777,0.263701190344994
2779,952,0.261148049650085
5437,4105,0.26904816923079
5437,5258,0.309670269022367
937,3296,0.282447759753959
937,5480,0.25056062898561
937,5245,0.26599506746194
937,2780,0.296362097837009
2490,3061,0.269399677341031
2490,2393,0.301114564060774
2490,3388,0.268365810431735
2490,2281,0.279277399561882
2490,5237,0.275300615195067
3061,2389,0.267941128547654
3061,2281,0.306004393074172
4382,4105,0.264872670841488
2389,5545,0.271910722816476
2389,3993,0.240445652356158
2389,2281,0.351102951367226
2389,3402,0.280902041405137
2389,4400,0.345713206803894
2389,707,0.252541786645907
5545,605,0.281782126338176
5545,5582,0.248939620146033
5545,3265,0.260761230775665
5545,3251,0.259666639542392
5545,2438,0.325396414793066
5545,3402,0.274859992545413
